frameId,pointNum,posX,posY,posX,doppler,time
271,47,0.969701,0.030590,-0.130253,-0.249573,2021-03-14 14:09:27.239536
271,47,1.453744,0.045885,-0.201296,-0.249573,2021-03-14 14:09:27.239536
271,47,1.933198,0.122361,-0.284006,-0.249573,2021-03-14 14:09:27.239536
271,47,1.356900,0.000000,3.672922,-0.249573,2021-03-14 14:09:27.239536
271,47,2.396339,0.000000,-3.696152,-0.249573,2021-03-14 14:09:27.239536
271,47,3.354210,-0.152951,-3.561097,-0.249573,2021-03-14 14:09:27.239536
271,47,0.258563,2.600170,4.138573,-0.249573,2021-03-14 14:09:27.239536
271,47,0.486165,0.015295,-0.054455,-0.166382,2021-03-14 14:09:27.239536
271,47,0.971610,0.061180,-0.102238,-0.166382,2021-03-14 14:09:27.239536
271,47,1.458007,0.091771,-0.147615,-0.166382,2021-03-14 14:09:27.239536
271,47,1.950246,0.122361,-0.120226,-0.166382,2021-03-14 14:09:27.239536
271,47,2.339719,-0.229427,0.679677,-0.166382,2021-03-14 14:09:27.239536
271,47,0.606594,-2.370744,-0.022363,-0.166382,2021-03-14 14:09:27.239536
271,47,3.306563,-0.214132,0.871204,-0.166382,2021-03-14 14:09:27.239536
271,47,0.937460,-0.122361,-3.799702,-0.166382,2021-03-14 14:09:27.239536
271,47,2.945070,-0.137656,-3.272857,-0.166382,2021-03-14 14:09:27.239536
271,47,0.546170,2.340153,3.691796,-0.166382,2021-03-14 14:09:27.239536
271,47,3.344271,-0.152951,-3.570431,-0.166382,2021-03-14 14:09:27.239536
271,47,0.498330,2.600170,4.116589,-0.166382,2021-03-14 14:09:27.239536
271,47,0.486614,0.015295,-0.050285,-0.083191,2021-03-14 14:09:27.239536
271,47,0.972880,0.061180,-0.089344,-0.083191,2021-03-14 14:09:27.239536
271,47,1.460970,0.091771,-0.114634,-0.083191,2021-03-14 14:09:27.239536
271,47,1.952836,0.061180,-0.124796,-0.083191,2021-03-14 14:09:27.239536
271,47,2.325054,-0.229427,0.728263,-0.083191,2021-03-14 14:09:27.239536
271,47,2.675301,-0.122361,-2.856454,-0.083191,2021-03-14 14:09:27.239536
271,47,3.102334,-0.137656,-3.124188,-0.083191,2021-03-14 14:09:27.239536
271,47,0.672084,2.477809,3.579489,-0.083191,2021-03-14 14:09:27.239536
271,47,3.269932,-0.152951,-3.638637,-0.083191,2021-03-14 14:09:27.239536
272,23,0.976857,0.030590,0.055089,0.000000,2021-03-14 14:09:27.339662
272,23,1.465982,0.045885,0.069208,0.000000,2021-03-14 14:09:27.339662
272,23,0.974804,0.030590,0.083925,0.083191,2021-03-14 14:09:27.339662
272,23,1.464041,0.045885,0.102356,0.083191,2021-03-14 14:09:27.339662
272,23,1.956659,0.061180,0.025039,0.083191,2021-03-14 14:09:27.339662
272,23,0.974555,0.030590,0.086758,0.166382,2021-03-14 14:09:27.339662
272,23,1.464356,0.045885,0.097747,0.166382,2021-03-14 14:09:27.339662
272,23,1.953126,0.122361,-0.056682,0.166382,2021-03-14 14:09:27.339662
272,23,0.700283,2.294268,-0.484583,0.166382,2021-03-14 14:09:27.339662
272,23,2.380358,0.229427,-0.519749,0.166382,2021-03-14 14:09:27.339662
272,23,1.466436,0.045885,0.058792,0.249573,2021-03-14 14:09:27.339662
272,23,0.420750,1.896595,-0.242449,0.249573,2021-03-14 14:09:27.339662
272,23,1.937041,0.183541,-0.216956,0.249573,2021-03-14 14:09:27.339662
272,23,0.521761,2.370744,-0.310197,0.249573,2021-03-14 14:09:27.339662
272,23,0.963738,0.030590,-0.168805,-0.415955,2021-03-14 14:09:27.339662
272,23,0.480911,0.000000,-0.090991,-0.332764,2021-03-14 14:09:27.339662
272,23,0.956373,0.000000,-0.208739,-0.332764,2021-03-14 14:09:27.339662
272,23,1.422196,0.045885,-0.362284,-0.332764,2021-03-14 14:09:27.339662
272,23,0.481787,0.000000,-0.086234,-0.249573,2021-03-14 14:09:27.339662
272,23,0.960314,0.000000,-0.189785,-0.249573,2021-03-14 14:09:27.339662
272,23,1.429119,0.000000,-0.337069,-0.249573,2021-03-14 14:09:27.339662
272,23,0.972488,-0.030590,-0.107485,-0.166382,2021-03-14 14:09:27.339662
272,23,3.377123,-0.428263,0.387089,-0.083191,2021-03-14 14:09:27.339662
273,28,0.960331,-0.183541,-0.047947,0.000000,2021-03-14 14:09:27.442177
273,28,3.395582,-0.428263,0.157553,0.000000,2021-03-14 14:09:27.442177
273,28,0.957926,-0.152951,-0.131171,0.083191,2021-03-14 14:09:27.442177
273,28,0.962769,-0.122361,-0.127769,0.166382,2021-03-14 14:09:27.442177
273,28,0.976952,-0.061180,0.006556,0.249573,2021-03-14 14:09:27.442177
273,28,0.346760,-0.397673,-0.824521,0.249573,2021-03-14 14:09:27.442177
273,28,1.956638,-0.061180,0.026644,0.499146,2021-03-14 14:09:27.442177
273,28,2.445201,0.000000,0.099354,0.499146,2021-03-14 14:09:27.442177
273,28,0.604510,2.370744,-0.054997,0.499146,2021-03-14 14:09:27.442177
273,28,1.464739,-0.091771,0.045978,0.582337,2021-03-14 14:09:27.442177
273,28,1.953378,-0.122361,0.047203,0.582337,2021-03-14 14:09:27.442177
273,28,2.442259,-0.152951,0.029276,0.582337,2021-03-14 14:09:27.442177
273,28,1.463691,-0.091771,0.072006,0.665528,2021-03-14 14:09:27.442177
273,28,1.952541,-0.122361,0.074123,0.665528,2021-03-14 14:09:27.442177
273,28,2.441831,-0.152951,0.054295,0.665528,2021-03-14 14:09:27.442177
273,28,2.433438,-0.152951,-0.209442,1.414247,2021-03-14 14:09:27.442177
273,28,0.970942,-0.122361,-0.022806,-0.249573,2021-03-14 14:09:27.442177
273,28,1.456227,-0.183541,-0.041379,-0.249573,2021-03-14 14:09:27.442177
273,28,0.971101,-0.122361,0.014543,-0.166382,2021-03-14 14:09:27.442177
273,28,1.456544,-0.183541,0.028092,-0.166382,2021-03-14 14:09:27.442177
273,28,1.933055,-0.305902,-0.051038,-0.166382,2021-03-14 14:09:27.442177
273,28,2.562212,-0.275312,-1.408285,-0.166382,2021-03-14 14:09:27.442177
273,28,3.123061,-0.321198,-1.371689,-0.166382,2021-03-14 14:09:27.442177
273,28,0.966749,-0.152951,0.014939,-0.083191,2021-03-14 14:09:27.442177
273,28,1.449187,-0.229427,0.056723,-0.083191,2021-03-14 14:09:27.442177
273,28,1.932914,-0.305902,0.056136,-0.083191,2021-03-14 14:09:27.442177
273,28,2.659258,-0.275312,-1.215130,-0.083191,2021-03-14 14:09:27.442177
273,28,3.203881,-0.321198,-1.170549,-0.083191,2021-03-14 14:09:27.442177
274,34,0.972477,-0.091771,0.063935,0.000000,2021-03-14 14:09:27.543316
274,34,1.457952,-0.137656,0.106887,0.000000,2021-03-14 14:09:27.543316
274,34,1.938535,-0.183541,0.203168,0.000000,2021-03-14 14:09:27.543316
274,34,1.432428,-0.321198,-0.031292,0.083191,2021-03-14 14:09:27.543316
274,34,1.895608,-0.489444,0.000370,0.083191,2021-03-14 14:09:27.543316
274,34,2.350703,-0.152951,0.663085,0.083191,2021-03-14 14:09:27.543316
274,34,1.025103,2.217792,0.139438,0.083191,2021-03-14 14:09:27.543316
274,34,2.377270,-0.229427,0.533695,0.166382,2021-03-14 14:09:27.543316
274,34,0.840533,2.294268,0.136822,0.166382,2021-03-14 14:09:27.543316
274,34,0.920932,-0.305902,-0.128562,0.915101,2021-03-14 14:09:27.543316
274,34,0.456358,-0.168246,-0.054640,0.998292,2021-03-14 14:09:27.543316
274,34,0.911833,-0.336493,-0.116423,0.998292,2021-03-14 14:09:27.543316
274,34,0.912092,-0.336493,-0.114376,1.081483,2021-03-14 14:09:27.543316
274,34,1.194116,1.529512,-0.259933,1.247865,2021-03-14 14:09:27.543316
274,34,1.498085,1.911890,-0.298828,1.247865,2021-03-14 14:09:27.543316
274,34,1.948912,-0.183541,-0.030613,1.331056,2021-03-14 14:09:27.543316
274,34,1.197194,1.529512,-0.245364,1.331056,2021-03-14 14:09:27.543316
274,34,1.495122,1.911890,-0.313319,1.331056,2021-03-14 14:09:27.543316
274,34,2.434095,-0.229427,-0.106905,1.331056,2021-03-14 14:09:27.543316
274,34,1.949097,-0.183541,0.014790,1.414247,2021-03-14 14:09:27.543316
274,34,0.615087,-0.856527,-1.649520,1.414247,2021-03-14 14:09:27.543316
274,34,2.436321,-0.229427,-0.024201,1.414247,2021-03-14 14:09:27.543316
274,34,0.642250,-1.070658,-2.104777,1.414247,2021-03-14 14:09:27.543316
274,34,3.811440,-0.856527,-0.266129,1.913393,2021-03-14 14:09:27.543316
274,34,0.974066,-0.091771,0.031537,-0.249573,2021-03-14 14:09:27.543316
274,34,1.460932,-0.137656,0.052213,-0.249573,2021-03-14 14:09:27.543316
274,34,0.487073,-0.045885,0.014494,-0.166382,2021-03-14 14:09:27.543316
274,34,0.974153,-0.091771,0.028718,-0.166382,2021-03-14 14:09:27.543316
274,34,1.461228,-0.137656,0.043156,-0.166382,2021-03-14 14:09:27.543316
274,34,1.947844,-0.183541,0.071425,-0.166382,2021-03-14 14:09:27.543316
274,34,0.486971,-0.045885,0.017585,-0.083191,2021-03-14 14:09:27.543316
274,34,0.973978,-0.091771,0.034151,-0.083191,2021-03-14 14:09:27.543316
274,34,1.460946,-0.137656,0.051830,-0.083191,2021-03-14 14:09:27.543316
274,34,1.947255,-0.183541,0.085994,-0.083191,2021-03-14 14:09:27.543316
275,41,0.963367,0.122361,0.123175,0.000000,2021-03-14 14:09:27.644332
275,41,1.446384,0.183541,0.174023,0.000000,2021-03-14 14:09:27.644332
275,41,1.941396,0.183541,0.173718,0.000000,2021-03-14 14:09:27.644332
275,41,1.814562,-0.825936,-3.927998,0.083191,2021-03-14 14:09:27.644332
275,41,2.174020,-1.223610,-4.210931,0.083191,2021-03-14 14:09:27.644332
275,41,2.024461,-0.825936,-3.824051,0.166382,2021-03-14 14:09:27.644332
275,41,0.449413,-0.168246,0.096313,1.081483,2021-03-14 14:09:27.644332
275,41,0.898433,-0.336493,0.194451,1.081483,2021-03-14 14:09:27.644332
275,41,1.347671,-0.504739,0.291581,1.081483,2021-03-14 14:09:27.644332
275,41,1.798303,-0.672985,0.382208,1.081483,2021-03-14 14:09:27.644332
275,41,0.453654,-0.168246,0.073803,1.164674,2021-03-14 14:09:27.644332
275,41,0.907356,-0.336493,0.147303,1.164674,2021-03-14 14:09:27.644332
275,41,1.361252,-0.504739,0.219610,1.164674,2021-03-14 14:09:27.644332
275,41,1.814963,-0.672985,0.293058,1.164674,2021-03-14 14:09:27.644332
275,41,0.451450,-0.183541,0.045397,1.247865,2021-03-14 14:09:27.644332
275,41,0.903017,-0.367083,0.089623,1.247865,2021-03-14 14:09:27.644332
275,41,1.354802,-0.550624,0.131610,1.247865,2021-03-14 14:09:27.644332
275,41,1.806230,-0.734166,0.177256,1.247865,2021-03-14 14:09:27.644332
275,41,0.452487,-0.183541,0.033513,1.331056,2021-03-14 14:09:27.644332
275,41,0.905066,-0.367083,0.065773,1.331056,2021-03-14 14:09:27.644332
275,41,1.357830,-0.550624,0.095432,1.331056,2021-03-14 14:09:27.644332
275,41,1.810315,-0.734166,0.129018,1.331056,2021-03-14 14:09:27.644332
275,41,0.961870,0.122361,0.134368,-0.166382,2021-03-14 14:09:27.644332
275,41,1.457075,0.137656,0.118237,-0.166382,2021-03-14 14:09:27.644332
275,41,1.953559,0.122361,0.038959,-0.166382,2021-03-14 14:09:27.644332
275,41,1.813694,-0.672985,-0.300811,-0.166382,2021-03-14 14:09:27.644332
275,41,2.177278,-0.764756,0.814549,-0.166382,2021-03-14 14:09:27.644332
275,41,2.438178,-0.152951,0.144137,-0.166382,2021-03-14 14:09:27.644332
275,41,2.922594,-0.275312,-0.081479,-0.166382,2021-03-14 14:09:27.644332
275,41,3.390411,-0.321198,-0.374373,-0.166382,2021-03-14 14:09:27.644332
275,41,0.960431,0.122361,0.144293,-0.083191,2021-03-14 14:09:27.644332
275,41,1.454958,0.137656,0.141930,-0.083191,2021-03-14 14:09:27.644332
275,41,1.952106,0.122361,0.084820,-0.083191,2021-03-14 14:09:27.644332
275,41,2.175912,-0.764756,0.818192,-0.083191,2021-03-14 14:09:27.644332
275,41,2.435715,-0.152951,0.181053,-0.083191,2021-03-14 14:09:27.644332
275,41,2.916056,-0.275312,-0.211687,-0.083191,2021-03-14 14:09:27.644332
275,41,3.364010,-0.321198,-0.564338,-0.083191,2021-03-14 14:09:27.644332
275,41,3.666611,-0.489444,-1.283723,-0.083191,2021-03-14 14:09:27.644332
275,41,1.027549,0.856527,-3.679951,-0.083191,2021-03-14 14:09:27.644332
275,41,4.491811,-1.850709,2.320494,-0.083191,2021-03-14 14:09:27.644332
275,41,4.128520,0.168246,-3.451551,-0.083191,2021-03-14 14:09:27.644332
276,24,0.970938,-0.091771,0.084131,0.083191,2021-03-14 14:09:27.745421
276,24,1.457243,-0.137656,0.116147,0.083191,2021-03-14 14:09:27.745421
276,24,0.472516,-0.107066,0.069431,0.582337,2021-03-14 14:09:27.745421
276,24,0.945124,-0.214132,0.138236,0.582337,2021-03-14 14:09:27.745421
276,24,1.417394,-0.321198,0.209339,0.582337,2021-03-14 14:09:27.745421
276,24,1.887275,-0.428263,0.296086,0.582337,2021-03-14 14:09:27.745421
276,24,0.472878,-0.107066,0.066923,0.665528,2021-03-14 14:09:27.745421
276,24,0.945741,-0.214132,0.133949,0.665528,2021-03-14 14:09:27.745421
276,24,1.418275,-0.321198,0.203286,0.665528,2021-03-14 14:09:27.745421
276,24,1.889345,-0.428263,0.282578,0.665528,2021-03-14 14:09:27.745421
276,24,0.939345,-0.244722,0.126343,0.748719,2021-03-14 14:09:27.745421
276,24,1.416947,-0.321198,0.212349,0.748719,2021-03-14 14:09:27.745421
276,24,0.951153,0.214132,0.087617,-0.166382,2021-03-14 14:09:27.745421
276,24,1.430430,0.321198,0.081847,-0.166382,2021-03-14 14:09:27.745421
276,24,1.893622,0.489444,-0.086739,-0.166382,2021-03-14 14:09:27.745421
276,24,2.053672,0.688280,-1.139115,-0.166382,2021-03-14 14:09:27.745421
276,24,1.886475,-0.458854,-2.203328,-0.166382,2021-03-14 14:09:27.745421
276,24,0.949038,0.214132,0.108150,-0.083191,2021-03-14 14:09:27.745421
276,24,1.417577,0.367083,0.108272,-0.083191,2021-03-14 14:09:27.745421
276,24,1.895024,0.489444,-0.047034,-0.083191,2021-03-14 14:09:27.745421
276,24,2.029671,0.764756,-1.133343,-0.083191,2021-03-14 14:09:27.745421
276,24,1.922932,-0.550624,-2.150148,-0.083191,2021-03-14 14:09:27.745421
276,24,2.543145,-1.070658,-2.030840,-0.083191,2021-03-14 14:09:27.745421
276,24,2.550016,0.107066,-2.285643,-0.083191,2021-03-14 14:09:27.745421
277,67,0.942478,-0.244722,0.100338,0.000000,2021-03-14 14:09:27.844444
277,67,1.417174,-0.367083,0.113422,0.000000,2021-03-14 14:09:27.844444
277,67,1.892291,-0.489444,0.112087,0.000000,2021-03-14 14:09:27.844444
277,67,0.937259,-0.214132,0.184160,0.083191,2021-03-14 14:09:27.844444
277,67,1.410030,-0.321198,0.254253,0.083191,2021-03-14 14:09:27.844444
277,67,1.889378,-0.428263,0.282355,0.083191,2021-03-14 14:09:27.844444
277,67,2.427985,-0.305902,-0.013911,0.083191,2021-03-14 14:09:27.844444
277,67,0.845136,2.294268,-0.104698,0.083191,2021-03-14 14:09:27.844444
277,67,1.454078,-0.550624,2.491277,0.083191,2021-03-14 14:09:27.844444
277,67,0.478361,2.844892,-0.549316,0.083191,2021-03-14 14:09:27.844444
277,67,2.544136,-0.321198,2.272094,0.083191,2021-03-14 14:09:27.844444
277,67,2.603578,-1.605988,-1.542853,0.083191,2021-03-14 14:09:27.844444
277,67,3.112879,-1.345971,-1.957009,0.083191,2021-03-14 14:09:27.844444
277,67,3.826805,0.122361,0.819835,0.083191,2021-03-14 14:09:27.844444
277,67,4.195755,0.688280,1.151473,0.083191,2021-03-14 14:09:27.844444
277,67,1.390610,-0.963593,4.067145,0.083191,2021-03-14 14:09:27.844444
277,67,4.400895,-1.988366,0.796272,0.083191,2021-03-14 14:09:27.844444
277,67,4.456495,0.917707,1.803606,0.083191,2021-03-14 14:09:27.844444
277,67,4.799888,-2.187202,1.078614,0.083191,2021-03-14 14:09:27.844444
277,67,0.944243,-0.183541,0.181493,0.166382,2021-03-14 14:09:27.844444
